experiment,date,subject,max_distance,dog_age,dog_age_acquisition,dog_breed,dog_sex,dog_neutered,dog_acquisition,dog_weight,akccgc,rate_dog_trained,cbarq_training_score,dog_behavior_bennett_disobedient_score,dog_behavior_bennett_aggressive_score,dog_behavior_bennett_nervous_score,dog_behavior_bennett_destructive_score,dog_behavior_bennett_excitable_score,dog_obedience_hiby_score,dog_problematic_behaviors_hiby_score,dias_behavioral_regulation_score,dias_aggression_score,dias_responsiveness_score,dias_overall_score,mdors_score,separation_anxiety_yesno,personality_extraversion_score,personality_agreeableness_score,personality_conscientiousness_score,personality_stability_score,personality_openness_score,crt_score,numeracy_score,owner_gender,owner_marital_status,other_dogs,household_income
1,2019-12-11,1_51,0.5,1,0.5,Mini Goldendoodle,Female,Yes,Purchased from breeder,12.2469948,No,5,NA,2.67,1.17,3,3.75,4.67,3.75,1.7692307692307692,0.54,0.4,0.56,0.53,5.56,No,3.5,4.5,4,5.5,6,0,NA,Male,Married,Yes,"More than $100,000"
1,2019-12-14,1_52,2,0.5,0.5,Miniature Golden Doodle,Male,Yes,Purchased from breeder,NA,NA,6,NA,3.5,1.17,4,4,4.67,3.38,2.1538461538461537,0.6,0.52,0.52,0.56,5.44,No,4,4.5,5,4,6,3,2,Male,Married,No,"More than $100,000"
1,2019-12-16,1_53,1,2,0.5,Mixed (Plott Hound),Male,Yes,Adopted,NA,NA,9,NA,1.33,2.17,3.75,1.5,3,4.75,1.5384615384615385,0.28,0.4,0.48,0.38,6.44,No,4.5,5,4,6,6,2,3,Male,Single,Yes,"$75,000-$99,999"
1,2019-12-16,1_54,1.25,4,0.5,Mixed - Lab,Male,Yes,Adopted,NA,NA,NA,NA,1.83,1.5,4.75,3.25,3,4.25,1.4615384615384615,0.28,0.32,0.52,0.37,6.44,No,4.5,5.5,4,5.5,6,2,3,Male,Single,Yes,"$75,000-$99,999"
1,2020-01-31,1_55,0.75,8,0.5,Otterhound,Male,Yes,Purchased from breeder,48.5343868,Yes,8,NA,2,1.5,2.25,1.75,2.33,4.38,1.3076923076923077,0.64,0.6,0.56,0.61,5.44,No,2.5,5.5,5.5,6,4,0,0,Female,Separated/ divorced,No,"$25,000-$49,999"
1,2020-02-07,1_56,0.75,2,0.5,Chocolate Lab,Male,No,Purchased from breeder,27.215544,No,6,NA,3.33,1.67,2.75,4.75,5.33,3.62,2.3846153846153846,0.62,0.48,0.72,0.63,4.89,No,5.5,6,6,6,5.5,0,NA,Female,Married,Yes,"More than $100,000"
1,2020-03-02,1_57,1.5,3,0.5,Border Collie,Male,Yes,Adopted,NA,NA,6,NA,2.83,1.5,5,3.5,3.67,3.88,2.3076923076923075,0.56,0.48,0.72,0.61,6,Yes,2.5,4.5,5.5,3.5,4.5,0,1,Female,Single,Yes,"$25,000-$49,999"
1,2020-03-03,1_58,0.75,5,1,Cardigan Welsh Corgi,Male,Yes,Purchased from breeder,NA,NA,NA,NA,2.33,2.83,3.75,2,2.67,4.5,2.230769230769231,0.5,0.48,0.56,0.53,6,No,3.5,5,5,5,5,2,1,Male,Married,Yes,"$75,000-$99,999"
1,2020-03-06,1_59,2.5,9,0.5,Labrador Retriever (Chocolate),Female,Yes,Bred yourself,NA,NA,8,NA,1.5,1.17,1.25,1.5,3,4.5,1.4615384615384615,0.36,0.4,0.6,0.44,4.89,No,5.5,4.5,5,6,5,2,NA,Female,Married,No,"$75,000-$99,999"
1,2020-03-10,1_60,0.75,7,0.5,Belgian Malinois (Rescue),Male,Yes,Adopted,NA,NA,7,NA,2.5,2.17,3.25,1.75,2.67,4.12,1.4615384615384615,0.32,0.4,0.56,0.4,6,No,4.5,5,5,5,5,1,1,Male,Married,No,"$75,000-$99,999"
1,2021-04-13,1_61,2.5,4,2,Shepherd Mix,Male,Yes,Adopted,34.01943,No,6,NA,2.83,3.17,5.75,4.75,4,3.75,2.923076923076923,0.66,0.56,0.56,0.62,5.44,Yes,2.5,5.5,5.5,5,4,0,2,Female,Married,Yes,"Less than $25,000"
1,2021-04-13,1_62,0.75,2,0.5,Retriever Mix,Male,Yes,Adopted,34.01943,No,5,NA,3.33,3.17,2.25,4.5,4.67,3.62,2.5384615384615383,0.84,0.4,0.6,0.7,5.33,Yes,2.5,5.5,5.5,4.5,4,0,2,Female,Married,Yes,"Less than $25,000"
1,2021-04-15,1_63,1.25,6,4,Pitbull\Aussie,Female,Yes,Adopted,31.751468,No,7,NA,1.67,1,1.25,1.5,1.33,4.62,1.3333333333333333,0.42,0.36,0.56,0.46,6.56,No,5.5,5,5.5,5.5,5.5,0,0,Female,Single,No,"Less than $25,000"
1,2021-07-14,1_64,2.25,11,5,Yellow Lab,Female,Yes,Other,30.3906908,No,6,NA,2.83,2.83,4.25,2,4.67,3.38,2.4615384615384617,0.52,0.88,0.48,0.6,4,No,2.5,4.5,4,5,3.5,1,2,Male,Single,Yes,"$25,000-$49,999"
1,2021-07-14,1_65,1.5,5,0.5,Toy Aussie,Female,Yes,Purchased from breeder,4.9895164,No,NA,NA,2.33,1,2.25,2.75,3.67,3.88,1.8461538461538463,0.38,0.36,0.56,0.44,5.33,Yes,5,4,4.5,2.5,5.5,1,1,Female,Single,Yes,"$25,000-$49,999"
2,2020-08-31,2_1,0.5,3,2,Husky Mix,Male,Yes,Adopted,24.947582,Yes,7,3.75,NA,NA,NA,NA,NA,4.25,NA,0.36,0.4,0.64,0.46,NA,No,4,5.5,5.5,5,5.5,NA,NA,Female,Married,No,"More than $100,000"
2,2020-09-03,2_2,1.5,5,0.5,Husky/Boxer Mix,Female,Yes,Adopted,18.143696,Yes,8,3.88,NA,NA,NA,NA,NA,3.5,NA,0.28,0.48,0.56,0.39,NA,No,2,6,6,6,3.5,NA,NA,Female,Single,Yes,"Less than $25,000"
2,2020-09-03,2_3,1,0.5,0.5,Border Collie/Treeing Walker Coonhound/ Lab Mix,Male,Yes,Adopted,18.143696,No,5,3.62,NA,NA,NA,NA,NA,3.62,NA,0.32,0.44,0.64,0.4,NA,No,2,6,6,6,3.5,NA,NA,Female,Single,Yes,"Less than $25,000"
2,2020-09-05,2_4,2,4,0.5,Pug Poodle Mix,Male,Yes,Purchased from breeder,12.700587200000001,No,5,4.12,NA,NA,NA,NA,NA,4.38,NA,0.38,0.48,0.72,0.49,NA,Yes,5.5,3.5,5.5,4.5,6,NA,NA,Male,Married,Yes,"$50,000-$74,999"
2,2020-09-05,2_5,2,8,0.5,Pug Beagle Mix,Male,Yes,Adopted,13.607772,No,2,3.25,NA,NA,NA,NA,NA,3.62,NA,0.5,0.36,0.45,0.47,NA,Yes,5.5,3.5,5.5,4.5,6,NA,NA,Female,Married,Yes,"$50,000-$74,999"
2,2020-09-08,2_6,2.5,4,1,Border Collie,Male,Yes,Adopted,24.947582,No,5,4.12,NA,NA,NA,NA,NA,4.12,NA,0.52,0.55,0.64,0.56,NA,Yes,4,5.5,3.5,4.5,4,NA,NA,Female,Single,No,I would rather not say
2,2020-09-08,2_7,1.5,2,0.5,Labrabull,Female,Yes,Adopted,27.215544,No,7,3.62,NA,NA,NA,NA,NA,4.38,NA,0.48,0.52,0.6,0.53,NA,No,5,5.5,6,5,5,NA,NA,Female,Single,No,"$50,000-$74,999"
2,2020-09-10,2_8,1,1,0.5,Labradoodle,Female,Yes,Purchased from breeder,27.215544,No,7,4,NA,NA,NA,NA,NA,3.25,NA,0.4,0.4,0.6,0.47,NA,Yes,2.5,5,5.5,5,4,NA,NA,Female,Married,No,"More than $100,000"
2,2020-09-15,2_9,2,0.5,0.5,Mosty Beagle (75%),Female,Yes,Adopted,18.143696,No,7,3.5,NA,NA,NA,NA,NA,3.62,NA,0.56,0.4,0.6,0.52,NA,Yes,3,5.5,5,5.5,5.5,NA,NA,Male,Married,No,"More than $100,000"
2,2020-09-17,2_10,1.5,13,NA,Shetland Sheepdog,Female,Yes,Purchased from breeder,8.1646632,No,8,4.25,NA,NA,NA,NA,NA,3.62,NA,0.42,0.4,0.56,0.46,NA,No,3,5,5,4,4.5,NA,NA,Female,Married,Yes,"More than $100,000"
2,2020-09-22,2_11,1,2,0.5,American Pitbull/American Stanffordshire Terrier/ American Bulldog,Female,Yes,Adopted,27.215544,No,7,3.38,NA,NA,NA,NA,NA,3.12,NA,0.58,0.36,0.64,0.56,NA,Yes,5,4,4.5,4,4,NA,NA,Female,Single,No,I would rather not say
2,2020-09-23,2_12,1,3,1,Lab/Boxer? Mix,Female,Yes,Adopted,18.143696,No,6,3.88,NA,NA,NA,NA,NA,3.25,NA,0.42,0.4,0.55,0.46,NA,No,4,5,5,5.5,5,NA,NA,Female,Married,No,"Less than $25,000"
2,2020-09-23,2_13,1.5,0.5,0.5,German Shepard,Female,No,Purchased from breeder,15.875734,No,7,3.25,NA,NA,NA,NA,NA,3.5,NA,0.5,0.44,0.52,0.51,NA,No,3,6,6,5,5.5,NA,NA,Female,Single,No,"$50,000-$74,999"
2,2020-09-29,2_14,1.5,3,2,Siberian Husky,Male,Yes,Adopted,20.411658,No,6,4.12,NA,NA,NA,NA,NA,4.12,NA,0.42,0.4,0.64,0.49,NA,No,4,5,5.5,5,5,NA,NA,Female,Single,Yes,"$75,000-$99,999"
2,2020-09-29,2_15,2.5,8,0.5,Otterhound,Male,Yes,Purchased from breeder,49.895164,Yes,9,3.88,NA,NA,NA,NA,NA,4.5,NA,0.46,0.45,0.48,0.47,NA,No,3,5,5,5.5,5,NA,NA,Female,Separated/ divorced,No,"$25,000-$49,999"
2,2020-10-06,2_16,0.5,3,0.5,Black Lab,Male,Yes,Other,40.823316,No,7,3.62,NA,NA,NA,NA,NA,3.5,NA,0.46,0.36,0.56,0.47,NA,No,3,3,4.5,4.5,4.5,NA,NA,Male,Single,No,"$25,000-$49,999"
2,2020-10-07,2_17,1,0.5,0.5,Giant Schnauzer,Female,No,Purchased from breeder,29.483506000000002,No,4,3.25,NA,NA,NA,NA,NA,4,NA,0.48,0.32,0.52,0.48,NA,Yes,3.5,3.5,5,4.5,4.5,NA,NA,Female,Married,No,"More than $100,000"
2,2020-10-08,2_18,2,4,2,Mixed Breed / Possible Cattle Dog Mix,Male,Yes,Adopted,28.1227288,Yes,7,3.5,NA,NA,NA,NA,NA,4,NA,0.42,0.36,0.52,0.43,NA,No,4.5,4.5,5.5,5.5,5,NA,NA,Female,Single,No,"Less than $25,000"
2,2020-10-15,2_19,1.5,10,4,Husky,Female,Yes,Adopted,20.411658,No,5,3.88,NA,NA,NA,NA,NA,4.25,NA,0.46,0.52,0.64,0.53,NA,No,3,5,4.5,2.5,4.5,NA,NA,Female,Married,Yes,I would rather not say
2,2020-10-22,2_20,3,4,2,Russell Terrier,Female,Yes,Adopted,9.5254404,NA,8,4.12,NA,NA,NA,NA,NA,4.12,NA,0.54,0.4,0.64,0.53,NA,No,5,6,6,6,5,NA,NA,Female,Widowed,No,I would rather not say
2,2020-10-28,2_21,1.5,1,0.5,Australian Shepherd,Male,Yes,Adopted,22.67962,No,8,4.25,NA,NA,NA,NA,NA,4.38,NA,0.32,0.36,0.6,0.4,NA,No,3.5,5.5,5.5,6,4.5,NA,NA,Female,Married,Yes,"More than $100,000"
2,2020-11-05,2_22,2.5,1,0.5,Pug,Male,Yes,Purchased from breeder,10.4326252,No,6,3.75,NA,NA,NA,NA,NA,4.12,NA,0.48,0.36,0.45,0.46,NA,No,4,5,6,5.5,5,NA,NA,Female,Single,No,"$25,000-$49,999"
2,2020-11-06,2_23,1,8,0.5,Yellow Labrador/Poodle Mix,Female,Yes,Purchased from breeder,29.483506000000002,Yes,8,4.25,NA,NA,NA,NA,NA,4.75,NA,0.32,0.36,0.6,0.41,NA,No,5,5,5,5.5,6,NA,NA,Female,Married,Yes,"More than $100,000"
2,2020-11-12,2_24,2,11,0.5,Daschund,Male,Yes,Other,7.2574784,No,7,3.88,NA,NA,NA,NA,NA,4.12,NA,0.42,0.56,0.68,0.53,NA,No,3.5,4.5,5,5,4,NA,NA,Female,Married,No,I would rather not say
2,2021-03-18,2_25,2.5,2,1,Lab Mix,Female,Yes,Adopted,24.947582,No,7,3.5,NA,NA,NA,NA,NA,3.75,NA,0.38,0.32,0.64,0.42,NA,No,3,4.5,4.5,5,3,NA,NA,Female,Married,No,"More than $100,000"
2,2021-03-19,2_26,2,2,0.5,Mixed,Female,Yes,Adopted,24.0403972,No,8,3.62,NA,NA,NA,NA,NA,4,NA,0.52,0.4,0.68,0.54,NA,No,5.5,5.5,6,6,5,NA,NA,Female,Married,Yes,"More than $100,000"
2,2021-03-24,2_27,2.5,3,0.5,Border Terrier Mix,Female,Yes,Adopted,8.1646632,No,7,3.88,NA,NA,NA,NA,NA,3.88,NA,0.56,0.44,0.64,0.56,NA,Yes,3,5.5,5.5,5,5.5,NA,NA,Female,Single,Yes,"Less than $25,000"
2,2021-03-24,2_28,1,3,0.5,Border Terrier Mix,Female,Yes,Adopted,9.9790328,No,7,3.5,NA,NA,NA,NA,NA,4,NA,0.47,0.36,0.56,0.48,NA,Yes,2.5,5,5,4.5,5,NA,NA,Female,Single,Yes,"Less than $25,000"
2,2021-04-11,2_29,1.5,0.5,0.5,Australian Shepard,Male,Yes,Purchased from breeder,9.071848,NA,7,4,NA,NA,NA,NA,NA,3.88,NA,0.62,0.4,0.44,0.56,NA,No,4,4,5,4.5,4,NA,NA,Female,Single,Yes,"Less than $25,000"
2,2021-04-27,2_30,2.5,4,0.5,Golden Retriever,Male,Yes,Purchased from breeder,79.37867,No,7,3.5,NA,NA,NA,NA,NA,4,NA,0.26,0.36,0.56,0.36,NA,No,4,3,6,5.5,3,NA,NA,Female,Married,Yes,"More than $100,000"
2,2021-05-17,2_31,2,0.5,0.5,Cavalier King Charles Spaniel,Female,Yes,Purchased from breeder,5.8967012,No,7,4,NA,NA,NA,NA,NA,3.75,NA,0.36,0.44,0.64,0.44,NA,Yes,4.5,5.5,6,5.5,5.5,NA,NA,Female,Single,No,"Less than $25,000"
2,2021-05-28,2_32,1.5,0.5,0.5,Chinese Crested,Male,Yes,Other,4.535924,No,5,3.38,NA,NA,NA,NA,NA,3,NA,0.72,0.44,0.64,0.63,NA,No,3,5.5,5,5.5,4,NA,NA,Female,Single,Yes,"$25,000-$49,999"
2,2021-06-16,2_33,1,4,1,Staffordshire Terrier And Golden Retriever,Female,Yes,Adopted,24.947582,No,7,4,NA,NA,NA,NA,NA,4.25,NA,0.5,0.44,0.6,0.53,NA,No,4.5,6,5,5,5,NA,NA,Female,Single,Yes,"Less than $25,000"
2,2021-06-18,2_34,3,5,0.5,Maltese,Female,Yes,Purchased from breeder,4.535924,No,5,3,NA,NA,NA,NA,NA,3.38,NA,0.54,0.44,0.52,0.5,NA,Yes,5,4,5,4,4,NA,NA,Female,Married,Yes,"$50,000-$74,999"
2,2021-06-18,2_35,1.5,2,0.5,Golden Retriever,Male,Yes,Purchased from breeder,31.751468,No,6,3.62,NA,NA,NA,NA,NA,4,NA,0.32,0.32,0.6,0.39,NA,No,4,5.5,5,5,5,NA,NA,Female,Married,Yes,"$75,000-$99,999"
2,2021-07-15,2_36,1.5,4,0.5,Pharaoh Hound,Female,Yes,Purchased from breeder,22.67962,No,4,3.25,NA,NA,NA,NA,NA,3.88,NA,0.48,0.4,0.56,0.48,NA,No,6,4.5,5.5,4.5,5.5,NA,NA,Female,Married,No,"More than $100,000"
2,2021-08-02,2_37,1,5,3,Bernese Mountain Dog,Male,Yes,Adopted,40.823316,No,6,2.88,NA,NA,NA,NA,NA,4.25,NA,0.32,0.4,0.64,0.4,NA,No,3.5,5.5,5.5,6,4,NA,NA,Female,Married,Yes,I would rather not say
2,2021-08-05,2_38,2.5,4,0.5,Terrier Mix,Male,Yes,Adopted,17.2365112,No,4,3.75,NA,NA,NA,NA,NA,4.12,NA,0.42,0.44,0.52,0.44,NA,No,5,5.5,5,5,4.5,NA,NA,Female,Single,Yes,"$25,000-$49,999"
2,2021-08-20,2_39,4.5,7,3,Italian Greyhound,Male,Yes,Adopted,9.9790328,No,6,3.38,NA,NA,NA,NA,NA,3.75,NA,0.46,0.36,0.64,0.48,NA,No,4.5,5.5,5.5,4,4.5,NA,NA,Female,Married,No,"More than $100,000"
2,2021-08-20,2_40,2,2,0.5,Goldendoodle,Female,Yes,Purchased from breeder,27.215544,No,8,4.38,NA,NA,NA,NA,NA,4.62,NA,0.24,0.36,0.52,0.36,NA,No,3,6,6,6,5,NA,NA,Female,Married,No,"More than $100,000"
2,2021-10-08,2_41,2.5,3,0.5,Big Mixed Breed,Male,Yes,Adopted,31.2978756,No,5,3.5,NA,NA,NA,NA,NA,3.5,NA,0.42,0.44,0.52,0.44,NA,No,5,5,5.5,5.5,5,NA,NA,Female,Married,No,"$50,000-$74,999"
2,2021-10-08,2_42,3.5,4,0.5,German Wire Haired Pointer,Male,Yes,Purchased from breeder,31.751468,No,7,4.38,NA,NA,NA,NA,NA,4.25,NA,0.38,0.32,0.68,0.46,NA,Yes,6,5,5,6,5.5,NA,NA,Male,Separated/ divorced,No,"$50,000-$74,999"
2,2021-10-08,2_43,1.5,1,0.5,Field Golden Retriever,Male,Yes,Purchased from breeder,25.401174400000002,No,7,4.25,NA,NA,NA,NA,NA,3.88,NA,0.38,0.44,0.48,0.43,NA,Yes,4.5,4.5,5.5,5,4.5,NA,NA,Female,Single,Yes,"More than $100,000"
